Player,Position,Team,Age,Model_Rank,Expert_Rank,Rank_Difference,Model_Points,Expert_Points,Points_Difference,Edge_Category,ADP,Expert_Tier,Expert_Pos_Rank,Pos_Rank_Difference
Zach Charbonnet,RB,SEA,23.0,98,122.0,24.0,173.8,100.2,73.6,Buy,119.1,13.0,41.0,
Mark Andrews,TE,BAL,29.0,99,58.0,-41.0,173.8,114.9,58.9,Fade,71.3,4.0,5.0,
Zach Ertz,TE,WAS,34.0,100,94.0,-6.0,172.8,85.8,87.0,Consensus,144.0,7.0,13.0,
Xavier Worthy,WR,KAN,21.0,101,56.0,-45.0,172.4,153.6,18.8,Fade,67.8,6.0,18.0,
Pat Freiermuth,TE,PIT,26.0,102,136.0,34.0,172.0,67.5,104.5,Buy,155.8,9.0,28.0,
Bryce Young,QB,CAR,23.0,103,168.0,65.0,171.5,232.4,-60.9,Strong Buy,138.1,15.0,25.0,
Tua Tagovailoa,QB,MIA,26.0,104,154.0,50.0,170.9,239.9,-69.0,Strong Buy,134.2,13.0,22.0,
Quentin Johnston,WR,LAC,23.0,105,137.0,32.0,169.9,105.2,64.7,Buy,149.9,11.0,51.0,
Brian Robinson Jr.,RB,WAS,25.0,106,,,169.2,,,No Expert Data,,,,
Rachaad White,RB,TAM,25.0,107,131.0,24.0,168.7,97.5,71.2,Buy,109.1,14.0,44.0,
Sam LaPorta,TE,DET,23.0,108,55.0,-53.0,167.5,116.1,51.4,Strong Fade,53.1,3.0,4.0,
George Pickens,WR,PIT,23.0,109,73.0,-36.0,166.9,139.8,27.1,Fade,71.3,7.0,26.0,
Russell Wilson*,QB,PIT,36.0,110,422.0,312.0,165.9,163.9,2.0,Strong Buy,144.0,19.0,30.0,
Kareem Hunt,RB,KAN,29.0,111,203.0,92.0,162.7,60.9,101.8,Strong Buy,144.6,16.0,61.0,
Anthony Richardson,QB,IND,22.0,112,358.0,246.0,162.2,181.2,-19.0,Strong Buy,128.4,18.0,29.0,
Hunter Henry,TE,NWE,30.0,113,110.0,-3.0,160.5,81.6,78.9,Consensus,151.4,7.0,19.0,
Drew Lock,QB,NYG,28.0,114,564.0,450.0,160.0,7.9,152.1,Strong Buy,,27.0,64.0,
Tyjae Spears,RB,TEN,23.0,115,126.0,11.0,159.2,99.3,59.9,Slight Buy,132.7,13.0,43.0,
Drake Maye*,QB,NWE,22.0,116,142.0,26.0,158.5,245.7,-87.2,Buy,126.3,13.0,20.0,
Rashod Bateman,WR,BAL,25.0,117,140.0,23.0,156.5,104.5,52.0,Buy,150.6,11.0,52.0,
Mike Gesicki,TE,CIN,29.0,118,117.0,-1.0,156.1,76.5,79.6,Consensus,169.7,8.0,22.0,
Spencer Rattler,QB,NOR,24.0,119,535.0,416.0,154.8,58.4,96.4,Strong Buy,220.4,22.0,35.0,
Jaylen Waddle,WR,MIA,26.0,120,85.0,-35.0,154.0,127.9,26.1,Fade,80.8,9.0,31.0,
Chris Godwin,WR,TAM,28.0,121,94.0,-27.0,152.2,123.7,28.5,Fade,87.2,9.0,36.0,
Jaleel McLaughlin,RB,DEN,24.0,122,364.0,242.0,151.6,25.5,126.1,Strong Buy,146.7,19.0,93.0,
Alexander Mattison,RB,LVR,26.0,123,373.0,250.0,150.1,23.4,126.7,Strong Buy,,19.0,98.0,
Adam Thielen,WR,CAR,34.0,124,166.0,42.0,149.4,90.0,59.4,Buy,164.6,13.0,61.0,
