Player,Tm,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,-9999
Khalil Herbert,NYJ,3,14,0,5.7%,1,4,0,4.0%,0,0,0,.0%,HerbKh00
Justice Hill,BAL,3,-10,1,3.0%,1,1,1,1.9%,1,1,1,3.6%,HillJu00
Mac Jones,SFO,3,4,0,3.2%,1,2,0,2.2%,0,0,0,.0%,JoneMa05
Kyler Murray,ARI,3,13,1,6.3%,2,1,0,5.7%,0,0,0,.0%,MurrKy00
Kene Nwangwu,NYJ,3,5,0,5.7%,3,5,0,12.0%,1,0,0,20.0%,NwanKe00
Michael Penix,ATL,3,10,1,4.5%,3,10,1,7.5%,2,6,1,11.8%,PeniMi00
Rashee Rice,KAN,3,12,1,3.6%,3,12,1,7.1%,2,5,1,11.1%,RiceRa01
Aaron Rodgers,PIT,3,4,1,3.9%,2,2,1,4.3%,2,2,1,7.4%,RodgAa00
Zavier Scott,MIN,3,10,0,5.5%,1,4,0,4.2%,0,0,0,.0%,ScotZa00
Cade Stover,HOU,3,1,0,4.1%,1,1,0,2.9%,0,0,0,.0%,StovCa00
Tyrod Taylor,NYJ,3,13,1,5.7%,1,10,1,4.0%,0,0,0,.0%,TaylTy00
Malik Washington,MIA,3,20,1,4.5%,1,9,1,3.1%,0,0,0,.0%,WashMa00
Tyler Badie,DEN,2,3,0,2.8%,1,-3,0,2.9%,1,-3,0,6.7%,BadiTy00
British Brooks,HOU,2,0,0,2.7%,2,0,0,5.7%,2,0,0,8.7%,BrooBr01
Jake Browning,CIN,2,14,1,3.4%,1,1,1,3.1%,1,1,1,7.1%,BrowJa08
Joe Burrow,CIN,2,4,0,3.4%,1,1,0,3.1%,1,1,0,7.1%,BurrJo01
Chimere Dike,TEN,2,-6,0,4.5%,2,-6,0,6.9%,1,1,0,10.0%,DikeCh00
AJ Dillon,PHI,2,9,0,2.4%,0,0,0,.0%,0,0,0,.0%,DillAJ00
Ashton Dulin,IND,2,22,0,2.0%,0,0,0,.0%,0,0,0,.0%,DuliAs00
Austin Ekeler,WAS,2,8,0,2.2%,0,0,0,.0%,0,0,0,.0%,EkelAu00
Harold Fannin,CLE,2,2,1,3.6%,1,1,1,3.0%,1,1,1,4.8%,FannHa00
Dillon Gabriel,CLE,2,8,0,3.6%,0,0,0,.0%,0,0,0,.0%,GabrDi00
Matthew Golden,GNB,2,10,0,2.2%,0,0,0,.0%,0,0,0,.0%,GoldMa02
C.J. Ham,MIN,2,2,2,3.6%,2,2,2,8.3%,2,2,2,16.7%,HamxC.00
Hassan Haskins,LAC,2,4,0,2.9%,0,0,0,.0%,0,0,0,.0%,HaskHa00
Josh Johnson,WAS,2,8,1,2.2%,1,1,1,1.9%,1,1,1,3.4%,JohnJo05
Corey Kiner,ARI,2,6,0,4.2%,1,3,0,2.9%,0,0,0,.0%,KineCo00
Riley Leonard,IND,2,7,2,2.0%,2,7,2,3.4%,1,1,1,3.2%,LeonRi02
Jakobi Meyers,JAX,2,5,0,1.8%,1,3,0,1.9%,0,0,0,.0%,MeyeJa01
Davis Mills,HOU,2,14,1,2.7%,1,0,0,2.9%,1,0,0,4.3%,MillDa02
Marvin Mims,DEN,2,18,1,2.8%,0,0,0,.0%,0,0,0,.0%,MimsMa00
D.J. Moore,CHI,2,23,1,2.1%,1,6,0,1.9%,0,0,0,.0%,MoorD.00
Adam Prentice,DEN,2,4,0,2.8%,1,0,0,2.9%,1,0,0,6.7%,PrenAd00
Jonnu Smith,PIT,2,17,1,2.6%,0,0,0,.0%,0,0,0,.0%,SmitJo01
Tua Tagovailoa,MIA,2,6,0,3.0%,0,0,0,.0%,0,0,0,.0%,TagoTu00
Carson Wentz,MIN,2,3,0,3.6%,1,3,0,4.2%,0,0,0,.0%,WentCa00
Jameis Winston,NYG,2,3,1,2.1%,1,1,1,2.0%,1,1,1,3.6%,WinsJa00
Rasheen Ali,BAL,1,5,0,1.0%,0,0,0,.0%,0,0,0,.0%,AlixRa00
Andrew Beck,NYJ,1,5,0,1.9%,1,5,0,4.0%,0,0,0,.0%,BeckAn01
Dyami Brown,JAX,1,4,0,.9%,1,4,0,1.9%,0,0,0,.0%,BrowDy00
Ty Chandler,MIN,1,2,0,1.8%,1,2,0,4.2%,1,2,0,8.3%,ChanTy01
Nico Collins,HOU,1,7,1,1.4%,1,7,1,2.9%,0,0,0,.0%,CollNi00
Malachi Corley,CLE,1,2,0,1.8%,1,2,0,3.0%,1,2,0,4.8%,CorlMa00
Kirk Cousins,ATL,1,1,1,1.5%,1,1,1,2.5%,1,1,1,5.9%,CousKi00
DeeJay Dallas,CAR,1,0,0,1.6%,0,0,0,.0%,0,0,0,.0%,DallDe00
DeMario Douglas,NWE,1,8,0,1.1%,0,0,0,.0%,0,0,0,.0%,DougDe00
Greg Dulcich,MIA,1,-7,0,1.5%,1,-7,0,3.1%,1,-7,0,7.7%,DulcGr00
Terrance Ferguson,LAR,1,0,0,1.1%,1,0,0,1.9%,0,0,0,.0%,FergTe00
Zay Flowers,BAL,1,18,1,1.0%,0,0,0,.0%,0,0,0,.0%,FlowZa00
Reggie Gilliam,BUF,1,-1,0,.9%,1,-1,0,1.6%,1,-1,0,2.7%,GillRe00
Najee Harris,LAC,1,7,0,1.4%,0,0,0,.0%,0,0,0,.0%,HarrNa00
Tre Harris,LAC,1,7,0,1.4%,0,0,0,.0%,0,0,0,.0%,HarrTr03
T.J. Hockenson,MIN,1,0,0,1.8%,0,0,0,.0%,0,0,0,.0%,HockTJ00
Evan Hull,NOR,1,2,0,1.7%,0,0,0,.0%,0,0,0,.0%,HullEv00
Travis Hunter,JAX,1,0,0,.9%,0,0,0,.0%,0,0,0,.0%,HuntTr00
Xavier Hutchinson,HOU,1,9,0,1.4%,0,0,0,.0%,0,0,0,.0%,HutcXa00
Alec Ingold,MIA,1,3,0,1.5%,1,3,0,3.1%,0,0,0,.0%,IngoAl01
D'Ernest Johnson,NWE,1,1,0,1.1%,1,1,0,1.8%,1,1,0,4.3%,JohnDE04
Tez Johnson,TAM,1,-4,0,1.6%,0,0,0,.0%,0,0,0,.0%,JohnTe03
Kyle Juszczyk,SFO,1,-1,0,1.1%,1,-1,0,2.2%,1,-1,0,4.3%,JuszKy00
Travis Kelce,KAN,1,1,0,1.2%,1,1,0,2.4%,1,1,0,5.6%,KelcTr00
George Kittle,SFO,1,-3,0,1.1%,0,0,0,.0%,0,0,0,.0%,KittGe00
Colston Loveland,CHI,1,-2,0,1.0%,1,-2,0,1.9%,0,0,0,.0%,LoveCo00
Hunter Luepke,DAL,1,0,0,1.1%,0,0,0,.0%,0,0,0,.0%,LuepHu00
Phil Mafah,DAL,1,1,1,1.1%,1,1,1,2.0%,1,1,1,3.6%,MafaPh00
Jalen McMillan,TAM,1,1,0,1.6%,0,0,0,.0%,0,0,0,.0%,McMiJa01
D.K. Metcalf,PIT,1,6,1,1.3%,1,6,1,2.2%,0,0,0,.0%,MetcDK00
Joe Milton,DAL,1,3,0,1.1%,1,3,0,2.0%,1,3,0,3.6%,MiltJo00
Elijah Moore,BUF,1,4,1,.9%,1,4,1,1.6%,1,4,1,2.7%,MoorEl00
Puka Nacua,LAR,1,3,0,1.1%,1,3,0,1.9%,0,0,0,.0%,NacuPu00
Dameon Pierce,HOU,1,2,0,1.4%,0,0,0,.0%,0,0,0,.0%,PierDa01
Mason Rudolph,PIT,1,2,0,1.3%,1,2,0,2.2%,0,0,0,.0%,RudoMa00
Shedeur Sanders,CLE,1,7,1,1.8%,1,7,1,3.0%,0,0,0,.0%,SandSh00
Rashid Shaheed,NOR,1,0,0,1.7%,0,0,0,.0%,0,0,0,.0%,ShahRa00
Amon-Ra St. Brown,DET,1,1,0,1.1%,0,0,0,.0%,0,0,0,.0%,StxxAm00
Brian Thomas,JAX,1,9,1,.9%,1,9,1,1.9%,0,0,0,.0%,ThomBr06
Parker Washington,JAX,1,-8,0,.9%,1,-8,0,1.9%,0,0,0,.0%,WashPa01
Christian Watson,GNB,1,3,0,1.1%,0,0,0,.0%,0,0,0,.0%,WatsCh00
Jordan Whittington,LAR,1,5,0,1.1%,1,5,0,1.9%,0,0,0,.0%,WhitJo04
Jameson Williams,DET,1,7,0,1.1%,1,7,0,2.0%,0,0,0,.0%,WillJa11
Savion Williams,GNB,1,0,0,1.1%,0,0,0,.0%,0,0,0,.0%,WillSa01
