Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 16_level_0,Unnamed: 17_level_0
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
204.0,Ashley Lelie,22.0,DEN,WR,16.0,1.0,4.0,40.0,0.0,1.0,100.0,24.0,10.0,2.5,0.3,0.0,
205.0,Scottie Montgomery,24.0,DEN,WR,15.0,0.0,4.0,27.0,0.0,1.0,50.0,28.0,6.8,1.8,0.3,0.0,
206.0,Chad Morton,25.0,NYJ,RB,16.0,0.0,4.0,8.0,0.0,0.0,0.0,6.0,2.0,0.5,0.3,1.0,
207.0,Patrick Pass,24.0,NWE,FB,15.0,0.0,4.0,27.0,0.0,1.0,50.0,13.0,6.8,1.8,0.3,0.0,
208.0,Jerry Porter,24.0,OAK,WR,16.0,14.0,4.0,6.0,0.0,0.0,25.0,4.0,1.5,0.4,0.3,0.0,
209.0,J.R. Redmond,25.0,NWE,RB,9.0,0.0,4.0,2.0,0.0,0.0,0.0,5.0,0.5,0.2,0.4,0.0,
210.0,Akili Smith,27.0,CIN,QB,1.0,1.0,4.0,5.0,0.0,1.0,25.0,3.0,1.3,5.0,4.0,1.0,
211.0,Matt Allen,25.0,NYG,P,14.0,0.0,3.0,23.0,0.0,1.0,33.3,13.0,7.7,1.6,0.2,1.0,
212.0,Troy Brown,31.0,NWE,WR,14.0,13.0,3.0,14.0,0.0,1.0,33.3,21.0,4.7,1.0,0.2,4.0,
213.0,Isaac Bruce,30.0,STL,WR,16.0,16.0,3.0,18.0,0.0,2.0,66.7,13.0,6.0,1.1,0.2,2.0,
214.0,Tim Carter,23.0,NYG,WR,5.0,0.0,3.0,28.0,0.0,2.0,100.0,13.0,9.3,5.6,0.6,1.0,
215.0,Rock Cartwright,23.0,WAS,FB,16.0,0.0,3.0,22.0,0.0,2.0,66.7,20.0,7.3,1.4,0.2,1.0,
216.0,Andre' Davis,23.0,CLE,WR,16.0,4.0,3.0,7.0,0.0,0.0,33.3,9.0,2.3,0.4,0.2,1.0,
217.0,Troy Edwards,25.0,STL,WR,14.0,0.0,3.0,21.0,0.0,1.0,33.3,27.0,7.0,1.5,0.2,1.0,
218.0,James Hodgins,25.0,STL,FB,9.0,8.0,3.0,7.0,0.0,1.0,66.7,5.0,2.3,0.8,0.3,0.0,
219.0,Richard Huntley,30.0,DET,RB,3.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,1.3,1.3,1.0,0.0,
220.0,Darrell Jackson,24.0,SEA,WR,13.0,13.0,3.0,3.0,0.0,0.0,33.3,4.0,1.0,0.2,0.2,3.0,
221.0,MarTay Jenkins,27.0,ARI,WR,8.0,1.0,3.0,6.0,0.0,1.0,66.7,10.0,2.0,0.8,0.4,0.0,
222.0,Randy Jordan,32.0,OAK,RB,14.0,0.0,3.0,14.0,1.0,1.0,33.3,12.0,4.7,1.0,0.2,0.0,
223.0,Kevin Kasper,25.0,ARI,WR,6.0,4.0,3.0,19.0,0.0,1.0,66.7,9.0,6.3,3.2,0.5,0.0,
224.0,Rob Konrad,26.0,MIA,FB,16.0,12.0,3.0,2.0,0.0,0.0,0.0,2.0,0.7,0.1,0.2,2.0,
225.0,Jermaine Lewis,28.0,HOU,WR,12.0,2.0,3.0,8.0,0.0,0.0,33.3,5.0,2.7,0.7,0.3,3.0,
