Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Unnamed: 19_level_0,Unnamed: 20_level_0
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
42.0,Deion Branch,24.0,NWE,WR,15.0,12.0,104.0,57.0,803.0,14.1,3.0,40.0,45.2,66.0,3.8,53.5,54.8,7.7,0.0,
43.0,Todd Heap,23.0,BAL,TE,16.0,16.0,112.0,57.0,693.0,12.2,3.0,32.0,42.0,33.0,3.6,43.3,50.9,6.2,1.0,"PB,AP-2"
44.0,Eddie Kennison,30.0,KAN,WR,16.0,16.0,99.0,56.0,853.0,15.2,5.0,43.0,51.5,51.0,3.5,53.3,56.6,8.6,1.0,
45.0,Bobby Shaw,28.0,BUF,WR,16.0,7.0,86.0,56.0,732.0,13.1,4.0,37.0,52.3,54.0,3.5,45.8,65.1,8.5,1.0,
46.0,Freddie Jones,29.0,ARI,TE,16.0,16.0,89.0,55.0,517.0,9.4,3.0,19.0,40.4,34.0,3.4,32.3,61.8,5.8,0.0,
47.0,Shawn Bryson,27.0,DET,RB,16.0,13.0,72.0,54.0,340.0,6.3,0.0,10.0,33.3,26.0,3.4,21.3,75.0,4.7,2.0,
48.0,Muhsin Muhammad,30.0,CAR,WR,15.0,15.0,100.0,54.0,837.0,15.5,3.0,37.0,46.0,60.0,3.6,55.8,54.0,8.4,3.0,
49.0,Jimmy Smith,34.0,JAX,WR,12.0,12.0,112.0,54.0,805.0,14.9,4.0,38.0,44.6,67.0,4.5,67.1,48.2,7.2,1.0,
50.0,Marty Booker,27.0,CHI,WR,13.0,13.0,105.0,52.0,715.0,13.8,4.0,30.0,38.1,61.0,4.0,55.0,49.5,6.8,1.0,
51.0,Tim Brown,37.0,OAK,WR,16.0,15.0,94.0,52.0,567.0,10.9,2.0,27.0,45.7,36.0,3.3,35.4,55.3,6.0,0.0,
52.0,Donald Driver,28.0,GNB,WR,15.0,15.0,86.0,52.0,621.0,11.9,2.0,30.0,57.0,41.0,3.5,41.4,60.5,7.2,0.0,
53.0,Bobby Engram,30.0,SEA,WR,16.0,7.0,75.0,52.0,637.0,12.3,6.0,34.0,62.7,34.0,3.3,39.8,69.3,8.5,5.0,
54.0,Terry Glenn,29.0,DAL,WR,16.0,14.0,96.0,52.0,754.0,14.5,5.0,37.0,49.0,51.0,3.3,47.1,54.2,7.9,2.0,
55.0,Edgerrin James,25.0,IND,RB,13.0,13.0,71.0,51.0,292.0,5.7,0.0,9.0,39.4,17.0,3.9,22.5,71.8,4.1,5.0,
56.0,Ahman Green,26.0,GNB,RB,16.0,16.0,60.0,50.0,367.0,7.3,5.0,21.0,53.3,27.0,3.1,22.9,83.3,6.1,7.0,PB
57.0,Johnnie Morton,32.0,KAN,WR,16.0,16.0,92.0,50.0,740.0,14.8,4.0,36.0,48.9,50.0,3.1,46.3,54.3,8.0,0.0,
