Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush
1,0,0,1.3%,1,0,0,2.8%,1,0,0,6.3%
1,3,0,.9%,0,0,0,.0%,0,0,0,.0%
1,6,0,1.8%,0,0,0,.0%,0,0,0,.0%
1,4,0,1.6%,0,0,0,.0%,0,0,0,.0%
1,1,1,1.7%,1,1,1,3.0%,1,1,1,5.6%
1,-2,0,1.6%,1,-2,0,4.0%,1,-2,0,8.3%
1,19,1,.9%,0,0,0,.0%,0,0,0,.0%
1,2,0,1.4%,1,2,0,2.1%,0,0,0,.0%
1,3,0,1.1%,0,0,0,.0%,0,0,0,.0%
1,17,1,2.4%,0,0,0,.0%,0,0,0,.0%
